name,id.x,popularity,followers,user,id.y,collaborators,genre,record_label
Fugazi,62sC6lUEWRjbFqXpMmOk4G,55,691265,I,62sC6lUEWRjbFqXpMmOk4G,,"hardcore punk, indie, noise rock, post-hardcore, punk",Dischord Records
Future,1RyvyyTE3xzB2ZywiAwp0i,90,22924161,M,1RyvyyTE3xzB2ZywiAwp0i,"21 Savage, 42 Dugg, A$AP Rocky, DaBaby, Don Toliver, Drake, Gucci Mane, Gunna, Kanye West, Kendrick Lamar, Kodak Black, Lil Baby, Lil Durk, Lil Uzi Vert, Meek Mill, Metro Boomin, Migos, Offset, Playboi Carti, Quavo, Southside, The Weeknd, Tiësto, Travis Scott, Young Thug",rap,"Epic/Freebandz, Generation Now/Atlantic, Wilburn Holding Co./Boominati/Epic/Republic, Wilburn Holding Co./Epic"
Gabriel Fauré,2gClsBep1tt1rv1CN210SO,62,233670,I,2gClsBep1tt1rv1CN210SO,"Camille Saint-Saëns, Christine Croshaw, Daniel Barenboim","classical, requiem","Novus Promusica, UME - Global Clearing House, Warner Classics"
George Clanton,1G5v3lpMz7TeoW0yGpRQHr,59,140808,C,1G5v3lpMz7TeoW0yGpRQHr,,"chillwave, vaporwave","100% Electronica, 100% Electronica LLC, Blissful Serenity Industries, LLC"
Georgian Folk,3D21btY4uY8j3LYwAR7zwz,52,24770,M,3D21btY4uY8j3LYwAR7zwz,,"folk, georgian folk",Unknown
German Error Message,4Zjxd2hv7Hb8zJMIy8A1TM,41,43220,C,4Zjxd2hv7Hb8zJMIy8A1TM,,"ambient folk, lo-fi indie, slowcore","Cave Tour Records, German Error Message"
girl in red,3uwAm6vQy7kWPS2bciKWx9,74,8852519,I,3uwAm6vQy7kWPS2bciKWx9,,"bedroom pop, vocal","Columbia, world in red"
Gorky's Zygotic Mynci,5ShFRZUGJZL1qMkIPtYV5M,26,27183,I,5ShFRZUGJZL1qMkIPtYV5M,,"britpop, neo-psychedelic, pop","EMI, Mantra"
GRAZER,66npZ0iLHcWmV2DAC8oYRF,35,9660,C,66npZ0iLHcWmV2DAC8oYRF,,"dream pop, lo-fi indie, shoegaze","Cascine, Independent"
Grizzly Bear,2Jv5eshHtLycR6R8KQCdc4,55,860868,C,2Jv5eshHtLycR6R8KQCdc4,,"baroque pop, indie, indie rock","Audraglint, Grizzly Bear Music/RCA Records, Kanine Records, Warp Records"
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,77,6024548,M,13y7CgLHjMVRMDqxdx0Xdo,"21 Savage, A Boogie Wit da Hoodie, A$AP Rocky, Big Scarr, DaBaby, Don Toliver, Drake, Future, Gunna, HoodRich Pablo Juan, Kanye West, Key Glock, Kodak Black, Lil Baby, Lil Durk, Lil Tjay, Lil Uzi Vert, Lil Yachty, Meek Mill, Migos, NAV, Offset, Pooh Shiesty, Quavo, Rich The Kid, The Weeknd, Travis Scott, Young Dolph, Young Nudy, Young Thug, Yung Lean","rap, southern hip hop, trap","1017/Atlantic, Big Cat"
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,87,10533853,M,2hlmm7s2ICUX0LVIhVFlZQ,"21 Savage, DaBaby, Don Toliver, Drake, Felipe Da Don, Future, HoodRich Pablo Juan, Kodak Black, Lil Baby, Lil Durk, Lil Tecca, Lil Uzi Vert, Lil Yachty, Metro Boomin, Moneybagg Yo, NAV, Offset, Playboi Carti, Southside, Tm88, Tory Lanez, Travis Scott, Young Stoner Life, Young Thug",melodic rap,"300 Entertainment, Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records"
Have A Nice Life,0FRKTwQSToXpCxYMhyUzYY,56,515808,C,0FRKTwQSToXpCxYMhyUzYY,,"shoegaze, slowcore","NL, The Flenser"
Her's,77mJc3M7ZT5oOVM7gNdXim,65,1212035,C,77mJc3M7ZT5oOVM7gNdXim,,indie,Heist Or Hit Records
Hibou,60S3PHPmmVaBxa0zrcAiHq,37,45394,C,60S3PHPmmVaBxa0zrcAiHq,,dream pop,"3722803 Records DK2, Barsuk Records, Spirit Goth Records"
HoodRich Pablo Juan,1ZLO8d7zll1WeQJUHaxQer,48,533304,M,1ZLO8d7zll1WeQJUHaxQer,"BlocBoy JB, Gucci Mane, Gunna, Kap G, Key Glock, Lil Baby, Lil Uzi Vert, Lil Yachty, MadeinTYO, Migos, NAV, NLE Choppa, Offset, Playboi Carti, Quavo, Rich The Kid, Young Dolph, Young Thug","southern hip hop, trap","Alamo, LilCJ Kasino, Mony Powr RSpt / EMPIRE, Mony Powr RSpt / Hoodrich / EMPIRE, Super"
Hope Sandoval & The Warm Inventions,38u18VoGaIwVeSyVoA0eU5,49,195153,C,38u18VoGaIwVeSyVoA0eU5,,"art pop, dream pop, slowcore","Nettwerk Music Group, Tendril Tales"
Huncho Jack,6extd4B6hl8VTmnlhpl2bY,56,1200857,M,6extd4B6hl8VTmnlhpl2bY,"Offset, Quavo, Travis Scott","rap, trap",Quality Control Music - Epic
Idil Biret,5SBOWUBQdfga0xprPVBxOr,50,17047,I,5SBOWUBQdfga0xprPVBxOr,"Antoni Wit, Camille Saint-Saëns, Frédéric Chopin, Gabriel Fauré, Johannes Brahms, Polish National Radio Symphony Orchestra","classical, classical piano","Idil Biret Archive, Naxos Special Projects"
Indila,0FEJqmeLRzsXj8hgcZaAyB,71,2585730,M,0FEJqmeLRzsXj8hgcZaAyB,,french pop,Universal Music Division Island Def Jam
Interpol,3WaJSfKnzc65VDgmj2zU8B,64,1834203,C,3WaJSfKnzc65VDgmj2zU8B,,"indie rock, post-punk","Matador, Third Man Records"
ISO Supremacy,6rUez8y21xlLrYKExcXB1X,55,4845,M,6rUez8y21xlLrYKExcXB1X,"A$AP Rocky, Brent Faiyaz, DJ Candlestick, FELIX!, Tommy Richman",dark r&b,ISO Supremacy under exclusive license to UnitedMasters LLC
Jaymay,42lt7Lr6m3qVIesp9pP4oH,29,26657,I,42lt7Lr6m3qVIesp9pP4oH,,"anti-folk, indie","Jaymay Music, Jaymay Songs, Parlophone UK"
Jeff Buckley,3nnQpaTvKb5jCQabZefACI,74,2350970,"I, C",3nnQpaTvKb5jCQabZefACI,,indie,"Columbia/Legacy, Evolver Entertainment, Legacy Recordings"
Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,66,2363447,I,3gIRvgZssIb9aiirIg0nI3,,indie,"Mercury Records/Republic Owned, Republic Records, Universal Records"
Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,77,9687637,M,5ZS223C6JyBfXasXxrRqOk,"21 Savage, Childish Gambino, Future, Kendrick Lamar, Kurupt, Lil Durk, Pop Smoke",r&b,"APG Inc – Sleep Soul, Def Jam Recordings"
Joanne Robertson,4MdQ9btIlh6rzIMA19tu3L,48,41805,C,4MdQ9btIlh6rzIMA19tu3L,Dean Blunt,art pop,"AD 93, Escho, Textile, WORLD MUSIC, World Music"
Joel Corry,6DgP9otnZw5z6daOntINxp,68,474083,M,6DgP9otnZw5z6daOntINxp,"Avicii, Calvin Harris, Ed Sheeran, Tiësto, Tory Lanez",dance pop,Atlantic Records UK
Johannes Brahms,5wTAi7QkpP6kp8a54lmTOq,66,1087047,I,5wTAi7QkpP6kp8a54lmTOq,"Antoni Wit, Daniel Barenboim, Idil Biret, Polish National Radio Symphony Orchestra","chamber music, classical, classical piano, orchestral","Musica Novantiqua, Novus Promusica, UME - Global Clearing House, Warner Classics"
Johnny Hodges,7lRFrrINQTY35g8hq0kXY5,45,50705,I,7lRFrrINQTY35g8hq0kXY5,,"cool jazz, jazz, swing music","Ace Records, Bella Musica Edition, Jube Legends, RCA Bluebird, Squatty Roo Records, SteepleChase, Verve, Verve Reissues"
Joji,3MZsBdqDrRTJihTHQrO6Dq,83,10774412,I,3MZsBdqDrRTJihTHQrO6Dq,"Lil Yachty, Yves Tumor",alt,"88rising Music, 88rising Music / EMPIRE"
jonatan leandoer96,5tPS5f7Gu3SaJQusdkehtE,46,178600,I,5tPS5f7Gu3SaJQusdkehtE,,"cloud rap, rap","World Affairs, YEAR0001"
Julian Casablancas,1rAv1GhTQ2rmG94p9lU3rB,63,604304,I,1rAv1GhTQ2rmG94p9lU3rB,,indie,RCA Records Label
Juliana Chahayed,2qvGuhgaubJ02pfiKcJAdR,48,127394,I,2qvGuhgaubJ02pfiKcJAdR,,"edm, lo-fi indie",Unknown
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,91,31306636,"M, I, C",5K4W6rqBFWDnAN6FQUkS6x,"Bon Iver, DJ Premier, Drake, Eminem, Frank Ocean, Lil Baby, Lil Durk, Playboi Carti, Rich The Kid, The Weeknd, Travis Scott",rap,"Getting Out Our Dreams II / Def Jam Recordings, Getting Out Our Dreams II, LLC / Def Jam Recordings, Getting Out Our Dreams, Inc./Def Jam Recordings, Rock The World/IDJ/Kanye LP7, Rock The World/IDJ/Kanye/LP6, YZY"
Kap G,6JvU33PZ8MtZyeFTESr09O,44,503169,M,6JvU33PZ8MtZyeFTESr09O,"A Boogie Wit da Hoodie, Gunna, HoodRich Pablo Juan, Lil Baby, Lil Uzi Vert, Playboi Carti, Quavo, Young Thug","southern hip hop, trap","Atlantic Records, Fourtune Entertainment Inc., RTR records, Richest In The Room"
Karnivool,6rX8AFY10dsJkJsv23Z9Um,49,243319,C,6rX8AFY10dsJkJsv23Z9Um,,"alternative metal, djent, progressive metal, progressive rock","Columbia, Karnivool, Vagrant Records"
Kasabian,11wRdbnoYqRddKBrpHt4Ue,62,1875364,C,11wRdbnoYqRddKBrpHt4Ue,,"britpop, indie, indie rock","Columbia, Harvest Records, RCA Records Label, Sony BMG Music UK, Sony Music UK"
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,90,45094537,"M, I, C",2YZyLoL8N0Wb9xBt1NhZWg,"Drake, Future, Jhené Aiko, Kodak Black, The Weeknd, Travis Scott","hip hop, west coast hip hop","Aftermath, Black Panther (TDE/DMG) PS, Top Dawg Entertainment / Section.80, pgLang, under exclusive license to Interscope Records, pgLang/Top Dawg Entertainment/Aftermath/Interscope Records"
Key Glock,0RESbWvOMyua0yuyVrztJ5,74,2423599,M,0RESbWvOMyua0yuyVrztJ5,"Paper Route EMPIRE, PaperRoute Woo, Rich The Kid, SNUPE BANDZ, Young Dolph","southern hip hop, trap","Key Glock, Paper Route EMPIRE"
King Krule,4wyNyxs74Ux8UIDopNjIai,61,970891,C,4wyNyxs74Ux8UIDopNjIai,,"indie, jazz rock, post-punk jazz","Matador, True Panther Sounds"
King Von,6QtgPSJPSzcnn7dPZ4VINp,77,8110732,M,6QtgPSJPSzcnn7dPZ4VINp,"21 Savage, 42 Dugg, A Boogie Wit da Hoodie, Lil Durk, Moneybagg Yo, NLE Choppa, Offset, Polo G, Tee Grizzley","chicago drill, drill","Forever and a Day, LLC / EMPIRE"
Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,78,5789529,C,2qk9voo8llSGYcZ6xrBzKx,,rock,"LoveTap Records, LLC, under exclusive license to Capitol Records, RCA Records Label, RCA/Legacy"
Kinrose,6SUbi1ZVEswHqRUWsxmq2m,36,20263,M,6SUbi1ZVEswHqRUWsxmq2m,,"drill, uk drill",Unknown
Kodak Black,46SHBwWsqBkxI7EeeBEQG7,81,12584931,M,46SHBwWsqBkxI7EeeBEQG7,"6ix9ine, A Boogie Wit da Hoodie, D-Block Europe, Don Toliver, Future, Gucci Mane, Gunna, Lil Durk, Lil Tecca, Lil Yachty, Moneybagg Yo, NLE Choppa, Offset, Pooh Shiesty, Tory Lanez, Travis Scott, Young Thug","rap, southern hip hop, trap","Atlantic Records, Vulture Love, LLC/ Capitol Records, Vulture Love/Capitol Records"
Kurupt,6NyJIFHAePjHR1pFxwisqz,61,778650,M,6NyJIFHAePjHR1pFxwisqz,"Kendrick Lamar, The Alchemist","g-funk, gangster rap, old school hip hop, west coast hip hop","Antra Records / Essential Media Group, Compound Interest, Dogg Food Records / RIVAL, Penagon, Penagon Entertainment, Penagon Entertainment LLC"
La Capone,69HouC7BpXVxTAFwpckJHs,40,183595,M,69HouC7BpXVxTAFwpckJHs,,"chicago drill, drill","Streameum Entertainment, Team 600 / La Capone"
Lady Radiator,5U2FH1VnxiZYbLcUVWGrov,46,29212,C,5U2FH1VnxiZYbLcUVWGrov,,post-hardcore,Lady Radiator
Le Tigre,2n6FviARgtjjimZXu18uRM,62,551857,I,2n6FviARgtjjimZXu18uRM,,"electroclash, indie, queercore, riot grrrl","Le Tigre, Le Tigre Records, Motown, Mr. Lady Records, Le Tigre Records"
Leo Kaliski,0Q17losYLQmvFMI0dxBqIz,33,703,I,0Q17losYLQmvFMI0dxBqIz,,indie,Unknown
Lil Baby,5f7VJjfbwm532GiveGC0ZK,86,21863653,M,5f7VJjfbwm532GiveGC0ZK,"21 Savage, 42 Dugg, Central Cee, DaBaby, Drake, Future, Gucci Mane, Gunna, HoodRich Pablo Juan, Lil Durk, Lil Uzi Vert, Lil Yachty, Meek Mill, Moneybagg Yo, NAV, Offset, Pooh Shiesty, Quality Control, Quavo, The Weeknd, Travis Scott, Young Dolph, Young Thug","melodic rap, rap, trap","Quality Control Music (Caroline), Quality Control Music, LLC, Quality Control Music/Alamo Records/Motown Records, Quality Control Music/Motown Records, Quality Control Music/Motown Records/Capitol Records, Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records, Quality Control/Motown Records"
Lil Durk,3hcs9uc56yIGFCSy9leWe7,80,9645053,M,3hcs9uc56yIGFCSy9leWe7,"21 Savage, A Boogie Wit da Hoodie, Don Toliver, Drake, Future, Gucci Mane, Gunna, Jhené Aiko, Kanye West, Key Glock, King Von, Kodak Black, Lil Baby, Lil Tjay, Lil Yachty, Meek Mill, Metro Boomin, Migos, Moneybagg Yo, Mustard, NLE Choppa, Polo G, Pooh Shiesty, Quavo, Tee Grizzley, Travis Scott, Young Dolph, Young Thug","chicago drill, drill","Alamo, Only The Family / Alamo Records, LLC / EMPIRE, Quality Control Music/Alamo Records/Motown Records"
Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,80,10275630,M,4Ga1P7PMIsmqEZqhYZQgDo,"A Boogie Wit da Hoodie, Don Toliver, Gunna, Kodak Black, Lil Durk, Lil Tjay, Lil Uzi Vert, Lil Yachty, NAV, Polo G","melodic rap, rap","Galactic / Republic Records, Galactic Records/Lil Tecca, Republic Records"
Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,76,10274995,M,6jGMq4yGs7aQzuGsMgVgZR,"42 Dugg, D-Block Europe, Lil Baby, Lil Durk, Lil Tecca, Moneybagg Yo, NLE Choppa, Offset, Polo G, Pop Smoke, Rich The Kid, Sheff G","brooklyn drill, melodic rap",Columbia
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,84,19379652,M,4O15NlyKLIASxsJ0PrXPfz,"21 Savage, 42 Dugg, Don Toliver, Future, Gucci Mane, Gunna, HoodRich Pablo Juan, Kanye West, Lil Durk, Meek Mill, NAV, Offset, Playboi Carti, Pooh Shiesty, Quavo, The Weeknd, Travis Scott, Young Nudy, Young Thug",melodic rap,Generation Now/Atlantic
Lil Yachty,6icQOAFXDZKsumw3YXyusw,77,10950456,"M, I",6icQOAFXDZKsumw3YXyusw,"A$AP Rocky, DaBaby, Drake, Future, Gucci Mane, Gunna, Kodak Black, Lil Baby, Lil Durk, Lil Tecca, Migos, Offset, Playboi Carti, Quality Control, Quavo, Southside, Tame Impala, Tee Grizzley, Tm88, Tyler, The Creator, Young Nudy, Young Thug","melodic rap, rap","QCLG, Quality Control Music, LLC, Quality Control Music/Motown Records, Quality Control Music/Motown Records/Capitol Records"
limly,1lv5lu5VRmHIsFz006l5rF,51,4610,I,1lv5lu5VRmHIsFz006l5rF,,"edm, slowcore",Unknown
Local Natives,75dQReiBOHN37fQgWQrIAJ,54,663128,C,75dQReiBOHN37fQgWQrIAJ,,indie,"Frenchkiss Records, Loma Vista, Loma Vista Recordings"
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,81,8103232,I,3Sz7ZnJQBIHsXLUSo0OQtM,,"indie, lo-fi indie","Captured Tracks, Mac DeMarco, LLC, Royal Mountain Records"
MadeinTYO,5SyGEPymt1G2uto47tVWvZ,56,1033200,M,5SyGEPymt1G2uto47tVWvZ,"Blood Orange, Gunna, Key Glock, Tm88, Travis Scott, Young Nudy","hip hop, trap","Commission Records, Commission/BMG, MadeinTYO, Madeinsounds, Madeinsounds/GDF Records/Creator-sync, Outliers Entertainment, Private Club Records., Yokohama"
Markus Pawlik,7tTCdjIEm4DHFxgquKT18a,34,375,I,7tTCdjIEm4DHFxgquKT18a,"Antoni Wit, Moritz Moszkowski, Polish National Radio Symphony Orchestra",classical,"Naxos, Sono Luminus"
Masego,3ycxRkcZ67ALN3GQJ57Vig,71,1613284,M,3ycxRkcZ67ALN3GQJ57Vig,"DJ Candlestick, Don Toliver, Freddie Gibbs, Tiffany Gouché","alternative r&b, r&b, soul","EQT Recordings, EQT Recordings - Masego, EQT Recordings/Capitol Records, TrapHouseJazz"
Matt Maltese,12j6dJrPXanCBwY599pZxf,67,768333,I,12j6dJrPXanCBwY599pZxf,,indie,"Atlantic Records UK, Nettwerk Music Group, Tonight Matthew"
Meek Mill,20sxb77xiYeusSH8cVdatc,74,8299305,M,20sxb77xiYeusSH8cVdatc,"21 Savage, 42 Dugg, A Boogie Wit da Hoodie, Brent Faiyaz, Drake, Ed Sheeran, Future, Kendrick Lamar, Kodak Black, Lil Baby, Lil Durk, Lil Uzi Vert, Moneybagg Yo, Quavo, Tee Grizzley, The Weeknd, Tory Lanez, Travis Scott, Young Stoner Life, Young Thug",rap,"MMG/Atlantic, Maybach Music Group under exclusive license to gamma., Meek Mill"
Men I Trust,3zmfs9cQwzJl575W1ZYXeT,71,2349792,C,3zmfs9cQwzJl575W1ZYXeT,,"bedroom pop, indie pop","Independent, Indie, Men I Trust, independent"
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,85,11832704,"M, I",0iEtIxbK0KxaSlF7G42ZOp,"21 Savage, A Boogie Wit da Hoodie, A$AP Rocky, DJ Candlestick, Don Toliver, Drake, Future, Gucci Mane, Gunna, Kendrick Lamar, Kodak Black, Lil Baby, Lil Durk, Lil Uzi Vert, NAV, Offset, Playboi Carti, Quavo, The Weeknd, Travis Scott, Young Nudy, Young Thug","hip hop, trap","Metro Boomin Shared, Republic Records, Wilburn Holding Co./Boominati/Epic/Republic"
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,87,38033428,M,3fMbdgg4jU18AjLCKBhRSm,Kanye West,"pop, r&b, soul","Epic, Epic/Legacy, Epic/MJJ"
Migos,6oMuImdp5ZcFhWP0ESe6mG,75,14692907,M,6oMuImdp5ZcFhWP0ESe6mG,"21 Savage, Calvin Harris, DaBaby, Drake, Frank Ocean, Future, Gucci Mane, HoodRich Pablo Juan, Lil Durk, Lil Uzi Vert, Lil Yachty, Mustard, Offset, Polo G, Pop Smoke, Quality Control, Quavo, Rich The Kid, Travis Scott, Young Dolph, Young Thug",trap,"101 Distribution, Black Market Records, Familiar Territory, Quality Control Music, Quality Control Music, LLC, Quality Control Music/Motown Records, RBC Records"
Miriam Keogh,6tIWNVs4HVdJCZai0rxYr4,47,257,I,6tIWNVs4HVdJCZai0rxYr4,"Camille Saint-Saëns, Frédéric Chopin, Gabriel Fauré, None, Sebastian Comberti",indie,Cello Classics
Mitski,2uYWxilOVlUdk4oV9DvwqK,80,11137515,I,2uYWxilOVlUdk4oV9DvwqK,,alt,"Dead Oceans, Good Harbor"
Moby,3OsRAKCvk37zwYcnzRf5XF,70,2083749,M,3OsRAKCvk37zwYcnzRf5XF,,"downtempo, trip hop","Deutsche Grammophon (DG), Moby Entertainment, Mute"
Moderat,2exkZbmNqMKnT8LRWuxWgy,56,765615,C,2exkZbmNqMKnT8LRWuxWgy,,"electronica, idm","50 WEAPONS, BPitch Control, Monkeytown Records, Mute"
Mojave 3,4jSYHcSo85heWskYvAULio,48,185382,C,4jSYHcSo85heWskYvAULio,,"dream pop, shoegaze, slowcore",4AD
Molchat Doma,1nVq0hKIVReeaiB3xJgKf0,62,1599006,I,1nVq0hKIVReeaiB3xJgKf0,,"cold wave, darkwave, gothic rock, post-punk, rock",Sacred Bones Records
Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,75,5178495,M,3tJoFztHeIJkJWMrx0td2f,"42 Dugg, A Boogie Wit da Hoodie, BlocBoy JB, DaBaby, Freddie Gibbs, Future, Gunna, Jhené Aiko, King Von, Kodak Black, Lil Baby, Lil Durk, Lil Tjay, Meek Mill, NLE Choppa, Offset, Polo G, Pooh Shiesty, Quality Control, Quavo, Rich The Kid, Southside, Tee Grizzley, Tm88, Young Dolph, Young Thug","rap, southern hip hop, trap","CMG/Interscope Records, CMG/N-Less/Interscope Records, N-Less Entertainment, LLC distributed by Interscope Records. With Epic Records and CMG Enterprises., NLess Entertainment, Services Account"
Moritz Moszkowski,5x2Ufw4gSPVw4TNcGCpFT1,38,12932,I,5x2Ufw4gSPVw4TNcGCpFT1,"Antoni Wit, Frédéric Chopin, Johannes Brahms, Markus Pawlik, Polish National Radio Symphony Orchestra","classical, classical piano","Apfel Café Music, Beatclap, Pianozone, Warner Classics, iMD-Claudio Colombo"
muna,4URLjSfWtdArslMrlA5suJ,32,4784,M,4URLjSfWtdArslMrlA5suJ,,"alt pop, indie pop",MMF Records
Mustard,0YinUQ50QDB7ZxSCLyQ40k,72,1964025,M,0YinUQ50QDB7ZxSCLyQ40k,"42 Dugg, A Boogie Wit da Hoodie, A$AP Rocky, Don Toliver, Future, Gunna, Kodak Black, Lil Durk, Lil Yachty, Masego, Meek Mill, Migos, NAV, Playboi Carti, Quavo, Rich The Kid, Travis Scott, Young Thug","hip hop, west coast hip hop","10 Summers Records/Interscope Records, BMG Rights Management (US) LLC, DJ Mustard/Roc Nation, Roc Nation/DJ Mustard P&D"
Nana Grizol,7FPO7WTShHCXnmVv7lhhZM,35,47196,I,7FPO7WTShHCXnmVv7lhhZM,,"anti-folk, folk, folk punk","Arrowhawk Records / Don Giovanni, Cruisin Records, Orange Twin"
Nation,03D2b6ATNCne8B3D251ncQ,32,13114,I,03D2b6ATNCne8B3D251ncQ,"Bladee, Ecco2k, Varg²™","electroclash, hyperpop","Nation, YEAR0001"
NAV,7rkW85dBwwrJtlHRDkJDAC,71,3570375,M,7rkW85dBwwrJtlHRDkJDAC,"21 Savage, Don Toliver, Future, Gucci Mane, Gunna, Lil Baby, Lil Durk, Lil Uzi Vert, Meek Mill, Metro Boomin, Offset, Playboi Carti, Pop Smoke, Quavo, SahBabii, The Weeknd, Travis Scott, Young Thug",melodic rap,"Republic Records, XO / Republic Records, XO Records, XO Records / Republic Records, XO Records, LLC and Republic Records"
Nick Drake,5c3GLXai8YOMid29ZEuR9y,62,959143,I,5c3GLXai8YOMid29ZEuR9y,,"folk, singer-songwriter","UMC (Universal Music Catalogue), Universal-Island Records Ltd."
Nirvana,6olE6TJLqED3rqDCT0FyPh,83,23655349,I,6olE6TJLqED3rqDCT0FyPh,,"grunge, rock","DGC, Geffen"
NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,76,10108543,M,0ErzCpIMyLcjPiwT4elrtZ,"Big Scarr, BlocBoy JB, Lil Baby, Meek Mill, Moneybagg Yo, Polo G, Pooh Shiesty, Young Thug","rap, trap","STREETZRUS, LLC., Warner Records"
No Clear Mind,2GkzAz3xr5IasfL5ukwDb9,40,47628,C,2GkzAz3xr5IasfL5ukwDb9,,post-rock,568735 Records DK
