name,id,genres,user
Bladee,2xvtxDNInKDV4AvGmjw6d1,hyperpop,I
EDEN,1t20wYnTiAT0Bs7H1hv9Wt,alt,I
Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,pop,I
Joji,3MZsBdqDrRTJihTHQrO6Dq,alt,I
Elliott Smith,2ApaG60P4r0yhBoDCGD8YG,indie,I
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,alt,I
The Strokes,0epOFNiUfyON9EYx7Tpr6V,rock,I
Yung Lean,67lytN32YpUxiSeWlKfHJ3,rap,I
Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,indie,I
Radiohead,4Z8W4fKeB5YxbusRsdQVPb,alt,I
The Marías,2sSGPbdZJkaSE2AbcGOACx,pop,I
Ecco2k,6hG0VsXXlD10l60TqiIHIX,hyperpop,I
Mitski,2uYWxilOVlUdk4oV9DvwqK,alt,I
"Dream, Ivory",0qZyvjwZauLmrobrpJmvib,alt,I
The Smiths,3yY2gUcIsjMr8hjo51PoJ8,rock,I
2hollis,72NhFAGG5Pt91VbheJeEPG,hyperpop,I
Olivver the Kid,3SoOohS0zlj8nLdGmhrKA7,pop,I
limly,1lv5lu5VRmHIsFz006l5rF,edm,I
jonatan leandoer96,5tPS5f7Gu3SaJQusdkehtE,rap,I
Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,hiphop,I
Molchat Doma,1nVq0hKIVReeaiB3xJgKf0,rock,I
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,indie,I
Duster,5AyEXCtu3xnnsTGCo4RVZh,edm,I
Tame Impala,5INjqkS1o8h1imAzPqGZBb,alt,I
RADWIMPS,1EowJ1WwkMzkCkRomFhui7,anime,I
Bright Eyes,5o206eFLx38glA2bb4zqIU,indie,I
Oklou,6fFcUOFcbjeIuEomuUthkw,hyperpop,I
Nirvana,6olE6TJLqED3rqDCT0FyPh,rock,I
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,pop,I
The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,indie,I
Pinegrove,2gbT6GPXMis0OAkZbEQCYB,midwest,I
Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,indie,I
Död Mark,36ufPZjygPOubok9wycfl9,indie,I
TK from Ling tosite sigure,3B9O5mYYw89fFXkwKh7jCS,anime,I
Jeff Buckley,3nnQpaTvKb5jCQabZefACI,indie,I
Crumb,4kSGbjWGxTchKpIxXPJv0B,alt,I
Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,midwest,I
Daniel Barenboim,78sEozQOEJxzXegUuqRSgH,classical,I
Chet Baker,3rxeQlsv0Sc2nyYaZ5W71T,jazz,I
Deftones,6Ghvu1VvMGScGpOUJBAHNH,edm,I
Nana Grizol,7FPO7WTShHCXnmVv7lhhZM,folk,I
Matt Maltese,12j6dJrPXanCBwY599pZxf,indie,I
Beach House,56ZTgzPBDge0OvCGgMO3OY,pop,I
The Hellp,5DslL3PUa3BcRlCCEP64A4,hyperpop,I
Nick Drake,5c3GLXai8YOMid29ZEuR9y,folk,I
Billie Holiday,1YzCsTRb22dQkh9lghPIrp,jazz,I
Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,vocal,I
Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,vocal,I
Johnny Hodges,7lRFrrINQTY35g8hq0kXY5,jazz,I
Wes Montgomery,03YhcM6fxypfwckPCQV8pQ,jazz,I
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,hiphop,I
Lil Yachty,6icQOAFXDZKsumw3YXyusw,indie,I
Alex G,6lcwlkAjBPSKnFBZjjZFJs,indie,I
The Velvet Underground,1nJvji2KIlWSseXRSlNYsC,rock,I
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,rap,I
Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,indie,I
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,indie,I
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,rock,I
The 1975,3mIj9lX2MWuHmhNCA7LSCW,indie,I
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,indie,I
Thaiboy Digital,3cGojc1Yu89IHXx8OeSnee,hyperpop,I
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,indie,I
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,rap,I
Varg²™,4g2EfgpanE2Z9LG1nQ9zNy,hyperpop,I
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,indie,I
Avicii,1vCWHaC5f2uS3yhpwWbIA6,edm,I
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,alt,I
Pixies,6zvul52xwTWzilBZl6BUbT,alt,I
Leo Kaliski,0Q17losYLQmvFMI0dxBqIz,indie,I
Gorky's Zygotic Mynci,5ShFRZUGJZL1qMkIPtYV5M,pop,I
Fugazi,62sC6lUEWRjbFqXpMmOk4G,indie,I
Julian Casablancas,1rAv1GhTQ2rmG94p9lU3rB,indie,I
Le Tigre,2n6FviARgtjjimZXu18uRM,indie,I
Moritz Moszkowski,5x2Ufw4gSPVw4TNcGCpFT1,classical,I
Markus Pawlik,7tTCdjIEm4DHFxgquKT18a,classical,I
Polish National Radio Symphony Orchestra,62QURushyB5wug2XPwajwK,classical,I
Antoni Wit,2OJaTm0rPZVyMA5k5s8vbh,classical,I
Toby Fox,57DlMWmbVIf2ssJ8QBpBau,edm,I
David Peacock,6DGLXvs8Y2RO8VfdOpFLml,indie,I
Augustine Mayuga Gonzales,5rIiXGQsgxh3nQhEpFIbx7,indie,I
Johannes Brahms,5wTAi7QkpP6kp8a54lmTOq,classical,I
Idil Biret,5SBOWUBQdfga0xprPVBxOr,classical,I
Gabriel Fauré,2gClsBep1tt1rv1CN210SO,classical,I
Christine Croshaw,1ymHnk986duca17oMSDzwb,classical,I
Franz Gordon,6c9mrV72IOeJ5imCUK281g,indie,I
Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,classical,I
David Fray,6ngR3n1aQ7GLB5w46hqSWR,classical,I
Camille Saint-Saëns,436sYg6CZhNefQJogaXeK0,classical,I
None,7jXUQgHvIWbra34WkJcezO,vocal,I
Sebastian Comberti,0JTq0OP9uGo5T6gG6UNsma,indie,I
Miriam Keogh,6tIWNVs4HVdJCZai0rxYr4,indie,I
ギヴン,6LQYtKNp3ZsJ9xOzVVUj5j,anime,I
Jaymay,42lt7Lr6m3qVIesp9pP4oH,indie,I
Juliana Chahayed,2qvGuhgaubJ02pfiKcJAdR,edm,I
girl in red,3uwAm6vQy7kWPS2bciKWx9,vocal,I
Steve Lacy,57vWImR43h4CaDao012Ofp,indie,I
Nation,03D2b6ATNCne8B3D251ncQ,hyperpop,I
Tirful,5wh9QhNjDHu546xgz3LqRF,indie,I
Pavement,3inCNiUr4R6XQ3W43s9Aqi,alt,I
