name,id,genres
Drake,3TVXtAsR1Inumwj472S9r4,rap
Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,
Migos,6oMuImdp5ZcFhWP0ESe6mG,trap
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,rap
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,r&b
Dave,6Ip8FS7vWT1uKkJSweANQK,"grime, uk grime, uk drill, drill"
Future,1RyvyyTE3xzB2ZywiAwp0i,rap
D-Block Europe,5VadK1havLhK1OpKYsXv9y,"grime, uk drill"
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,rap
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,melodic rap
Quavo,0VRj0yCOv2FXJNP47XQnx5,
Masego,3ycxRkcZ67ALN3GQJ57Vig,
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,rap
Young Thug,50co4Is1HCEo8bhOyUWKpn,"rap, melodic rap, trap"
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,melodic rap
Lil Baby,5f7VJjfbwm532GiveGC0ZK,
HoodRich Pablo Juan,1ZLO8d7zll1WeQJUHaxQer,
Pavement,3inCNiUr4R6XQ3W43s9Aqi,alt
Central Cee,5H4yInM5zmHqpKIoMNAx4r,"uk drill, drill, uk grime"
Sheff G,1tG7s7S4sq2eFFW0QZyLbm,"brooklyn drill, new york drill, drill"
Young Nudy,5yPzzu25VzEk8qrGTLIrE1,
Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,"brooklyn drill, new york drill, drill"
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,rage rap
Meek Mill,20sxb77xiYeusSH8cVdatc,rap
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,
Lil Durk,3hcs9uc56yIGFCSy9leWe7,"chicago drill, drill"
Young Stoner Life,1xr2G8Hlx4QWmT9HaUbmoO,
Free Party,2A1dxDBORVkkbHJDVDOhed,
King Von,6QtgPSJPSzcnn7dPZ4VINp,"chicago drill, drill"
SahBabii,7GuUYiGZOzQwq4L6gAfy1T,melodic rap
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,soft pop
La Capone,69HouC7BpXVxTAFwpckJHs,"chicago drill, drill"
Pooh Shiesty,5F1aAS1duwlzExnPs3l2Xe,
Kinrose,6SUbi1ZVEswHqRUWsxmq2m,
Calvin Harris,7CajNmpbOovFoOoasH2HaY,edm
NAV,7rkW85dBwwrJtlHRDkJDAC,melodic rap
Flozigg,0pTI6gG0UHQjylvV6mPuHv,
Skepta,2p1fiYHYiXz9qi0JJyxBzN,"grime, uk grime"
DaBaby,4r63FhuTkUYltbVAg5TQnk,
Indila,0FEJqmeLRzsXj8hgcZaAyB,french pop
Mustard,0YinUQ50QDB7ZxSCLyQ40k,
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,"southern hip hop, rap, trap"
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,trap
Faramarz Aslani,1xA7r3Y1UGCp3rQMkgFXz4,
Don Toliver,4Gso3d4CscCijv0lmajZWs,
muna,4URLjSfWtdArslMrlA5suJ,
Tame Impala,5INjqkS1o8h1imAzPqGZBb,"neo-psychedelic, indie"
Kurupt,6NyJIFHAePjHR1pFxwisqz,"g-funk, west coast hip hop, gangster rap, old school hip hop"
Huncho Jack,6extd4B6hl8VTmnlhpl2bY,
Trevor Spitta,6uCXq7IoXFqGSB3L5zX5oV,
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,melodic rap
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,pop
Eminem,7dGJo4pcD2V6oG8kP0tJRR,"rap, hip hop"
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,
21 Savage,1URnnhqYAYcrqrcwql10ft,
Lil Yachty,6icQOAFXDZKsumw3YXyusw,
Yeat,3qiHUAX7zY4Qnjx8TNUzVx,rage rap
Kodak Black,46SHBwWsqBkxI7EeeBEQG7,
Kap G,6JvU33PZ8MtZyeFTESr09O,
Polo G,6AgTAQt8XS6jRWi4sX7w49,
Castillo_1st,1SlEW6aktLpc1N6YvdEOmF,
Quality Control,6i392l38cR3uBPF0DbNs7S,
Georgian Folk,3D21btY4uY8j3LYwAR7zwz,
Key Glock,0RESbWvOMyua0yuyVrztJ5,
Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,"melodic rap, rap"
NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,
6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,
ABBA,0LcJLqbBmaGUft1e9Mm8HV,
MadeinTYO,5SyGEPymt1G2uto47tVWvZ,
Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,"brooklyn drill, melodic rap"
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"hip hop, west coast hip hop"
Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,"edm, trance, big room"
Felipe Da Don,4kZt5tLRG8CuE2xmhO9k2r,
Tee Grizzley,6AUl0ykLLpvTktob97x9hO,
Tm88,5RMUeKq0dZxg9RHE1f0B9P,
Southside,23DYJsw4uSCguIqiTIDtcN,chicago drill
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,
Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,r&b
Fredo,3rbtPd0NcvhO2AzMfzx90z,"grime, uk grime, uk drill, drill"
Big Scarr,579LsvZcRVKtToYjS0tkKz,
Paper Route EMPIRE,65smG2lgnRmrDB8g7z1hG0,
Young Dolph,3HiuzBlSW7pGDXlSFMhO2g,"southern hip hop, trap"
SNUPE BANDZ,72ltK39qT3DgtiCZgOAaGs,
PaperRoute Woo,5D2pVmcsajqTCO3czYdzrF,
42 Dugg,45gHcnDnMC15sgx3VL7ROG,
Tiffany Gouché,2IEnjZsVDEPKUTxNinyqba,
ISO Supremacy,6rUez8y21xlLrYKExcXB1X,dark r&b
DJ Candlestick,0Ld26D4Ya5Od7ZZpLanfQJ,
Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,
FELIX!,1DN9Pgv4fiAaRSSgiisj5G,
Moby,3OsRAKCvk37zwYcnzRf5XF,"downtempo, trip hop"
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,
DNCE,6T5tfhQCknKG4UnH90qGnz,
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,
Downstait,4g6EnIPhmYBTZ7vsmxDkxH,
CKay,048LktY5zMnakWq7PTtFrz,"afrobeats, afrobeat, afro r&b, afropop"
ElGrandeToto,4BFLElxtBEdsdwGA1kHTsx,"moroccan rap, moroccan pop, arabic hip hop"
Joel Corry,6DgP9otnZw5z6daOntINxp,dance pop
Alex G,6lcwlkAjBPSKnFBZjjZFJs,
･ ･－･ ･－ ･･･ ･ －･･,0EUOiLsLpv9g7H9YCzUnBS,
The Crying Nudes,3tM7dj8ztmzKcugbIVMxy0,
Her's,77mJc3M7ZT5oOVM7gNdXim,indie
SOHN,6XZYAWJLL8UIbxAqjKj3cg,
Deftones,6Ghvu1VvMGScGpOUJBAHNH,"nu metal, alternative metal, rap metal, shoegaze, rock"
Yves Tumor,0qu422H5MOoQxGjd4IzHbS,
You'll Never Get to Heaven,1tHzhv6nGl2i5ZaSSFiwK7,"dream pop, shoegaze"
Bob Seger,485uL27bPomh29R4JmQehQ,classic rock
Interpol,3WaJSfKnzc65VDgmj2zU8B,"indie rock, post-punk"
Title Fight,2CnhqfjUG0qzsru0SMuhrk,"midwest emo, shoegaze, post-hardcore, melodic hardcore, emo"
Bush,78SHxLdtysAXgywQ4vE0Oa,"grunge, post-grunge"
Enigma,3DmG65yHQsMms7WAvrZOdt,"new age, gregorian chant"
Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,classic rock
Surf Rock Is Dead,5iwmHxCi5pm28BEykL5Fyd,"surf rock, dream pop"
Phantom Youth,6R3Zn2xPFisfiGQIrp4sKd,"dream pop, shoegaze"
Rehash,10WfoBIKKTSqCvkeG1XW9T,shoegaze
Foxes In Fiction,3GSt4ZSP1wEtdbcTTbwjpW,"dream pop, shoegaze"
Slowdive,72X6FHxaShda0XeQw3vbeF,"shoegaze, dream pop, slowcore"
Fog Lake,04GCjO1r1hPelibCUq9S8H,"slowcore, lo-fi indie"
Have A Nice Life,0FRKTwQSToXpCxYMhyUzYY,"shoegaze, slowcore"
Ride,0WPY9nnBy01s5QOt4o4oQX,"shoegaze, dream pop, britpop, madchester, jangle pop, slowcore, neo-psychedelic"
The Radio Dept.,0utS63XytOEVN1EtzWhJpG,"dream pop, shoegaze"
Hope Sandoval & The Warm Inventions,38u18VoGaIwVeSyVoA0eU5,"slowcore, dream pop, art pop"
Supertramp,3JsMj0DEzyWc0VDlHuy9Bx,"progressive rock, classic rock"
Tamaryn,3TdVTSmMfLh55VrJDUpIQ2,"shoegaze, dream pop"
Hibou,60S3PHPmmVaBxa0zrcAiHq,dream pop
GRAZER,66npZ0iLHcWmV2DAC8oYRF,"dream pop, shoegaze, lo-fi indie"
Phantom Handshakes,1zg9SzoXC2U50P7Q403Alo,"dream pop, shoegaze"
Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,classic rock
Lady Radiator,5U2FH1VnxiZYbLcUVWGrov,post-hardcore
Wray,7j1EFfyMGmNxaLNIrVAID4,"shoegaze, dream pop"
Kasabian,11wRdbnoYqRddKBrpHt4Ue,"britpop, indie, indie rock"
Craft Spells,16lg8y62dC3J6ok1pNAbFJ,"dream pop, chillwave"
Mojave 3,4jSYHcSo85heWskYvAULio,"slowcore, dream pop, shoegaze"
Young Prisms,62Xs9S1gahH6vGEJ24qdkK,"shoegaze, dream pop"
The Who,67ea9eGLXYMsO2eYQRui3w,"classic rock, rock"
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,classic rock
Clarion,7KJSk2ytUFik1LGqFGHOLW,shoegaze
DIIV,4OrizGCKhOrW6iDDJHN9xd,"shoegaze, dream pop"
POLIÇA,34vLhockmYhf3LgznwyNaQ,
Sewerslvt,30F64wQIHvLiFTGaNZ73nU,"breakcore, jungle, speedcore, hyperpop"
Moderat,2exkZbmNqMKnT8LRWuxWgy,"idm, electronica"
George Clanton,1G5v3lpMz7TeoW0yGpRQHr,"vaporwave, chillwave"
Radiohead,4Z8W4fKeB5YxbusRsdQVPb,"art rock, alternative rock"
Duster,5AyEXCtu3xnnsTGCo4RVZh,"slowcore, shoegaze"
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,"witch house, electroclash, new rave, alternative dance"
Ariel Pink,5H0YoDsPDi9fObFmJtTjfN,neo-psychedelic
Vegyn,5iUnvXddCpOrbWKm7QMr6o,"idm, experimental hip hop"
Department Of Eagles,0d2BmAcZ7p8vrtBPY48WMW,
King Krule,4wyNyxs74Ux8UIDopNjIai,
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,
Stone Temple Pilots,2UazAtjfzqBF0Nho2awK4z,"grunge, alternative rock, post-grunge, rock"
bôa,5jTtGLk1mGFMY5lQOvJYUj,
Steve Lacy,57vWImR43h4CaDao012Ofp,
Real Estate,41SQP16hv1TioVYqdckmxT,"jangle pop, dream pop, surf rock"
Grizzly Bear,2Jv5eshHtLycR6R8KQCdc4,"indie, baroque pop, indie rock"
Triathalon,2SaIA1enj83vEmJikZdjQ3,bedroom pop
Men I Trust,3zmfs9cQwzJl575W1ZYXeT,"bedroom pop, indie pop"
Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,
Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,"jazz rap, alternative hip hop"
The Alchemist,0eVyjRhzZKke2KFYTcDkeu,"alternative hip hop, jazz rap, experimental hip hop, boom bap"
Amen Dunes,1jwOuEBcOKq0BeudSarbEM,
Porcupine Tree,5NXHXK6hOCotCF8lvGM1I0,"progressive rock, progressive metal, art rock, space rock"
DJ Premier,6GEykX11lQqp92UVOQQCC7,east coast hip hop
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,"indie rock, baroque pop"
A Beacon School,5Kbx8AkkM7259YdQh4rTdX,dream pop
Local Natives,75dQReiBOHN37fQgWQrIAJ,
The Cure,7bu3H8JO7d0UbMoVzbo70s,"new wave, post-punk, gothic rock, darkwave"
Jeff Buckley,3nnQpaTvKb5jCQabZefACI,
Blood Orange,6LEeAFiJF8OuPx747e1wxR,art pop
Vasilis Dokakis,7E74ReKi0BpodmTTNRY4nF,
No Clear Mind,2GkzAz3xr5IasfL5ukwDb9,post-rock
Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,
German Error Message,4Zjxd2hv7Hb8zJMIy8A1TM,"slowcore, lo-fi indie, ambient folk"
Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,"grunge, rock, post-grunge"
A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,alternative metal
Seether,6B5c4sch27tWHAGdarpPaW,"post-grunge, alternative metal, rock"
Chevelle,56dO9zeHKuU5Gvfc2kxHNw,"alternative metal, nu metal, post-grunge"
bar italia,6tYmTHApvspl6KAgTfHjAY,lo-fi indie
Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,"indie folk, folk, indie"
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,"classic rock, yacht rock, soft rock"
Beach House,56ZTgzPBDge0OvCGgMO3OY,dream pop
The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,
Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp,"dream pop, shoegaze, gothic rock"
From Indian Lakes,3YvQkjWJ5ykJVUNP7YbTy9,
empire! empire! (i was a lonely estate),3IaqcRr2teHDEqhRE5emu9,"midwest emo, math rock, emo, screamo"
The War On Drugs,6g0mn3tzAds6aVeUYRsryU,indie rock
River Tiber,1FHDMgGdmIP4IsoFkAwbS0,
Chanel Beads,3x11XrMEnyP18hv73pmKRL,lo-fi indie
Joanne Robertson,4MdQ9btIlh6rzIMA19tu3L,
Dean Blunt,5CFSYjc0PAiQvndFjafabk,art pop
TOOL,2yEwvVSSSUkcLeSTNyHKh8,"progressive metal, alternative metal, progressive rock, metal"
Karnivool,6rX8AFY10dsJkJsv23Z9Um,"progressive metal, progressive rock, djent, alternative metal"
Whirr,1tnjjbgszXYa8BbyTzwM0w,"shoegaze, slowcore, dream pop"
Fontaines D.C.,3SXwqSqAoBz9WCI9PDQzY6,post-punk
Bladee,2xvtxDNInKDV4AvGmjw6d1,hyperpop
EDEN,1t20wYnTiAT0Bs7H1hv9Wt,alt
Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,pop
Joji,3MZsBdqDrRTJihTHQrO6Dq,alt
Elliott Smith,2ApaG60P4r0yhBoDCGD8YG,indie
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,alt
The Strokes,0epOFNiUfyON9EYx7Tpr6V,rock
Yung Lean,67lytN32YpUxiSeWlKfHJ3,rap
Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,indie
The Marías,2sSGPbdZJkaSE2AbcGOACx,pop
Ecco2k,6hG0VsXXlD10l60TqiIHIX,hyperpop
Mitski,2uYWxilOVlUdk4oV9DvwqK,alt
"Dream, Ivory",0qZyvjwZauLmrobrpJmvib,alt
The Smiths,3yY2gUcIsjMr8hjo51PoJ8,rock
2hollis,72NhFAGG5Pt91VbheJeEPG,hyperpop
Olivver the Kid,3SoOohS0zlj8nLdGmhrKA7,pop
limly,1lv5lu5VRmHIsFz006l5rF,edm
jonatan leandoer96,5tPS5f7Gu3SaJQusdkehtE,rap
Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,hiphop
Molchat Doma,1nVq0hKIVReeaiB3xJgKf0,rock
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,indie
RADWIMPS,1EowJ1WwkMzkCkRomFhui7,anime
Bright Eyes,5o206eFLx38glA2bb4zqIU,indie
Oklou,6fFcUOFcbjeIuEomuUthkw,hyperpop
Nirvana,6olE6TJLqED3rqDCT0FyPh,rock
Pinegrove,2gbT6GPXMis0OAkZbEQCYB,midwest
Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,indie
Död Mark,36ufPZjygPOubok9wycfl9,indie
TK from Ling tosite sigure,3B9O5mYYw89fFXkwKh7jCS,anime
Crumb,4kSGbjWGxTchKpIxXPJv0B,alt
Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,midwest
Daniel Barenboim,78sEozQOEJxzXegUuqRSgH,classical
Chet Baker,3rxeQlsv0Sc2nyYaZ5W71T,jazz
Nana Grizol,7FPO7WTShHCXnmVv7lhhZM,folk
Matt Maltese,12j6dJrPXanCBwY599pZxf,indie
The Hellp,5DslL3PUa3BcRlCCEP64A4,hyperpop
Nick Drake,5c3GLXai8YOMid29ZEuR9y,folk
Billie Holiday,1YzCsTRb22dQkh9lghPIrp,jazz
Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,vocal
Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,vocal
Johnny Hodges,7lRFrrINQTY35g8hq0kXY5,jazz
Wes Montgomery,03YhcM6fxypfwckPCQV8pQ,jazz
The Velvet Underground,1nJvji2KIlWSseXRSlNYsC,rock
Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,indie
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,indie
The 1975,3mIj9lX2MWuHmhNCA7LSCW,indie
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,indie
Thaiboy Digital,3cGojc1Yu89IHXx8OeSnee,hyperpop
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,indie
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,rap
Varg²™,4g2EfgpanE2Z9LG1nQ9zNy,hyperpop
Avicii,1vCWHaC5f2uS3yhpwWbIA6,edm
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,alt
Pixies,6zvul52xwTWzilBZl6BUbT,alt
Leo Kaliski,0Q17losYLQmvFMI0dxBqIz,indie
Gorky's Zygotic Mynci,5ShFRZUGJZL1qMkIPtYV5M,pop
Fugazi,62sC6lUEWRjbFqXpMmOk4G,indie
Julian Casablancas,1rAv1GhTQ2rmG94p9lU3rB,indie
Le Tigre,2n6FviARgtjjimZXu18uRM,indie
Moritz Moszkowski,5x2Ufw4gSPVw4TNcGCpFT1,classical
Markus Pawlik,7tTCdjIEm4DHFxgquKT18a,classical
Polish National Radio Symphony Orchestra,62QURushyB5wug2XPwajwK,classical
Antoni Wit,2OJaTm0rPZVyMA5k5s8vbh,classical
Toby Fox,57DlMWmbVIf2ssJ8QBpBau,edm
David Peacock,6DGLXvs8Y2RO8VfdOpFLml,indie
Augustine Mayuga Gonzales,5rIiXGQsgxh3nQhEpFIbx7,indie
Johannes Brahms,5wTAi7QkpP6kp8a54lmTOq,classical
Idil Biret,5SBOWUBQdfga0xprPVBxOr,classical
Gabriel Fauré,2gClsBep1tt1rv1CN210SO,classical
Christine Croshaw,1ymHnk986duca17oMSDzwb,classical
Franz Gordon,6c9mrV72IOeJ5imCUK281g,indie
Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,classical
David Fray,6ngR3n1aQ7GLB5w46hqSWR,classical
Camille Saint-Saëns,436sYg6CZhNefQJogaXeK0,classical
None,7jXUQgHvIWbra34WkJcezO,vocal
Sebastian Comberti,0JTq0OP9uGo5T6gG6UNsma,indie
Miriam Keogh,6tIWNVs4HVdJCZai0rxYr4,indie
ギヴン,6LQYtKNp3ZsJ9xOzVVUj5j,anime
Jaymay,42lt7Lr6m3qVIesp9pP4oH,indie
Juliana Chahayed,2qvGuhgaubJ02pfiKcJAdR,edm
girl in red,3uwAm6vQy7kWPS2bciKWx9,vocal
Nation,03D2b6ATNCne8B3D251ncQ,hyperpop
Tirful,5wh9QhNjDHu546xgz3LqRF,indie
