"name","id","genres","collaborators"
"･ ･－･ ･－ ･･･ ･ －･･","0EUOiLsLpv9g7H9YCzUnBS","",NA
"21 Savage","1URnnhqYAYcrqrcwql10ft","","A$AP Rocky, Brent Faiyaz, Calvin Harris, Central Cee, Drake, Future, Gucci Mane, Gunna, Jhené Aiko, King Von, Kodak Black, Lil Baby, Lil Durk, Metro Boomin, Offset, Quavo, SahBabii, Travis Scott, Tyler, The Creator, Young Nudy, Young Thug"
"2hollis","72NhFAGG5Pt91VbheJeEPG","hyperpop",NA
"42 Dugg","45gHcnDnMC15sgx3VL7ROG","","Future, Lil Baby, Lil Durk, Lil Tjay, Lil Uzi Vert, Meek Mill, Moneybagg Yo, Tee Grizzley"
"6ix9ine","7gZfnEnfiaHzxARJ2LeXrf","","A Boogie Wit da Hoodie, Gunna, Kanye West, Kodak Black, Lil Baby, Offset, Tory Lanez, Young Thug"
"A Beacon School","5Kbx8AkkM7259YdQh4rTdX","dream pop",NA
"A Boogie Wit da Hoodie","31W5EY0aAly4Qieq6OFu6I","melodic rap","21 Savage, 6ix9ine, DaBaby, Ed Sheeran, Future, Gunna, Kap G, Kodak Black, Lil Durk, Lil Tecca, Lil Uzi Vert, Meek Mill, NAV, Offset, Pop Smoke, Tiësto, Tory Lanez, Young Thug"
"A Perfect Circle","4DFhHyjvGYa9wxdHUjtDkc","alternative metal",NA
"A$AP Rocky","13ubrt8QOOCPljQ2FL1Kca","rap","21 Savage, A Boogie Wit da Hoodie, BlocBoy JB, Blood Orange, Brent Faiyaz, Dean Blunt, DJ Candlestick, DJ Premier, Drake, Frank Ocean, Future, Gucci Mane, ISO Supremacy, Kanye West, Kendrick Lamar, Kodak Black, Lil Uzi Vert, Lil Yachty, MadeinTYO, Metro Boomin, Moby, Mustard, Offset, Playboi Carti, Pop Smoke, Quavo, Rich The Kid, Skepta, The Weeknd, Tyler, The Creator, Young Thug"
"ABBA","0LcJLqbBmaGUft1e9Mm8HV","",NA
"Alex G","6lcwlkAjBPSKnFBZjjZFJs","",NA
"Amen Dunes","1jwOuEBcOKq0BeudSarbEM","",NA
"Antoni Wit","2OJaTm0rPZVyMA5k5s8vbh","classical","Camille Saint-Saëns, Frédéric Chopin, Idil Biret, Johannes Brahms, Markus Pawlik, Moritz Moszkowski, Polish National Radio Symphony Orchestra"
"Arcade Fire","3kjuyTCjPG1WMFCiyc5IuB","indie rock, baroque pop",NA
"Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH","indie",NA
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","pop","Childish Gambino, Future, The Weeknd"
"Ariel Pink","5H0YoDsPDi9fObFmJtTjfN","neo-psychedelic",NA
"Augustine Mayuga Gonzales","5rIiXGQsgxh3nQhEpFIbx7","indie","David Peacock, Toby Fox"
"Avicii","1vCWHaC5f2uS3yhpwWbIA6","edm","Joel Corry, Tiësto"
"bar italia","6tYmTHApvspl6KAgTfHjAY","lo-fi indie",NA
"Beach House","56ZTgzPBDge0OvCGgMO3OY","dream pop",NA
"Big Scarr","579LsvZcRVKtToYjS0tkKz","","Gucci Mane, Key Glock, NLE Choppa, Offset, Pooh Shiesty"
"Billie Holiday","1YzCsTRb22dQkh9lghPIrp","jazz",NA
"Bladee","2xvtxDNInKDV4AvGmjw6d1","hyperpop","Ecco2k, Nation, Oklou, Thaiboy Digital, Varg²™, Yung Lean"
"BlocBoy JB","4TEJudQY2pXxVHPE3gD2EU","","21 Savage, Drake, HoodRich Pablo Juan, Lil Durk, Lil Uzi Vert, Moneybagg Yo, NLE Choppa, Pooh Shiesty"
"Blood Orange","6LEeAFiJF8OuPx747e1wxR","art pop","A$AP Rocky, Skepta, Steve Lacy, Tame Impala, Yves Tumor"
"bôa","5jTtGLk1mGFMY5lQOvJYUj","",NA
"Bob Seger","485uL27bPomh29R4JmQehQ","classic rock",NA
"Bon Iver","4LEiUm1SRbFMgfqnQTwUbQ","",NA
"Brent Faiyaz","3tlXnStJ1fFhdScmQeLpuG","r&b","21 Savage, A$AP Rocky, DJ Candlestick, Don Toliver, Drake, FELIX!, Gucci Mane, ISO Supremacy, Kanye West, Meek Mill, Tommy Richman, Tyler, The Creator"
"Bright Eyes","5o206eFLx38glA2bb4zqIU","indie",NA
"Bush","78SHxLdtysAXgywQ4vE0Oa","grunge, post-grunge",NA
"Calvin Harris","7CajNmpbOovFoOoasH2HaY","edm","21 Savage, Ariana Grande, Frank Ocean, Future, Joel Corry, Lil Durk, Lil Yachty, Migos, Offset, Steve Lacy, The Weeknd, Tiësto, Travis Scott, Young Thug"
"Camille Saint-Saëns","436sYg6CZhNefQJogaXeK0","classical","Antoni Wit, Christine Croshaw, Daniel Barenboim, Gabriel Fauré, Idil Biret, Polish National Radio Symphony Orchestra"
"Car Seat Headrest","5PbpKlxQE0Ktl5lcNABoFf","midwest",NA
"Castillo_1st","1SlEW6aktLpc1N6YvdEOmF","",NA
"Cavetown","2hR4h1Cao2ueuI7Cx9c7V8","indie",NA
"Central Cee","5H4yInM5zmHqpKIoMNAx4r","uk drill, drill, uk grime","21 Savage, D-Block Europe, Dave, Drake, Ed Sheeran, Fredo, Lil Baby, Lil Durk, Skepta"
"Chanel Beads","3x11XrMEnyP18hv73pmKRL","lo-fi indie",NA
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","jazz",NA
"Chevelle","56dO9zeHKuU5Gvfc2kxHNw","alternative metal, nu metal, post-grunge",NA
"Childish Gambino","73sIBHcqh3Z3NyqHKZ7FOL","","21 Savage, Ariana Grande, Jhené Aiko, Yeat, Young Nudy"
"Christine Croshaw","1ymHnk986duca17oMSDzwb","classical","Camille Saint-Saëns, Gabriel Fauré"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","pop",NA
"CKay","048LktY5zMnakWq7PTtFrz","afrobeats, afrobeat, afro r&b, afropop","ElGrandeToto"
"Clarion","7KJSk2ytUFik1LGqFGHOLW","shoegaze",NA
"Cocteau Twins","5Wabl1lPdNOeIn0SQ5A1mp","dream pop, shoegaze, gothic rock",NA
"Coldplay","4gzpq5DPGxSnKTe4SA8HAU","","Tiësto"
"Conan Gray","4Uc8Dsxct0oMqx0P6i60ea","indie",NA
"Craft Spells","16lg8y62dC3J6ok1pNAbFJ","dream pop, chillwave",NA
"Crumb","4kSGbjWGxTchKpIxXPJv0B","alt",NA
"Crystal Castles","7K3zpFXBvPcvzhj7zlGJdO","witch house, electroclash, new rave, alternative dance",NA
"D-Block Europe","5VadK1havLhK1OpKYsXv9y","grime, uk drill","Central Cee, Dave, Ed Sheeran, Kodak Black, Lil Baby, Lil Tjay, Offset, Rich The Kid, Skepta"
"DaBaby","4r63FhuTkUYltbVAg5TQnk","","21 Savage, A Boogie Wit da Hoodie, Drake, Future, Gucci Mane, Gunna, Kodak Black, Lil Baby, Lil Yachty, Meek Mill, Migos, Moneybagg Yo, Offset, Polo G, Pooh Shiesty, Quality Control, Quavo, Rich The Kid, Young Thug"
"Daniel Barenboim","78sEozQOEJxzXegUuqRSgH","classical","Camille Saint-Saëns, Frédéric Chopin, Gabriel Fauré, Johannes Brahms"
"Dave","6Ip8FS7vWT1uKkJSweANQK","grime, uk grime, uk drill, drill","Central Cee, D-Block Europe, Drake, Ed Sheeran, Fredo"
"David Fray","6ngR3n1aQ7GLB5w46hqSWR","classical","Frédéric Chopin"
"David Peacock","6DGLXvs8Y2RO8VfdOpFLml","indie","Augustine Mayuga Gonzales, Toby Fox"
"Dean Blunt","5CFSYjc0PAiQvndFjafabk","art pop","A$AP Rocky, Joanne Robertson, jonatan leandoer96, Skepta, Vegyn"
"Deftones","6Ghvu1VvMGScGpOUJBAHNH","nu metal, alternative metal, rap metal, shoegaze, rock",NA
"Department Of Eagles","0d2BmAcZ7p8vrtBPY48WMW","",NA
"DIIV","4OrizGCKhOrW6iDDJHN9xd","shoegaze, dream pop",NA
"DJ Candlestick","0Ld26D4Ya5Od7ZZpLanfQJ","","A$AP Rocky, Brent Faiyaz, Don Toliver, Drake, FELIX!, Gunna, ISO Supremacy, Kendrick Lamar, Lil Baby, Masego, Rich The Kid, Tommy Richman, Tyler, The Creator"
"DJ Premier","6GEykX11lQqp92UVOQQCC7","east coast hip hop",NA
"DNCE","6T5tfhQCknKG4UnH90qGnz","",NA
"Död Mark","36ufPZjygPOubok9wycfl9","indie",NA
"Don Toliver","4Gso3d4CscCijv0lmajZWs","","Brent Faiyaz, DJ Candlestick, Future, Gunna, Kodak Black, Lil Durk, Lil Uzi Vert, Masego, Metro Boomin, Mustard, NAV, Offset, Playboi Carti, Quavo, Travis Scott, Yeat"
"Downstait","4g6EnIPhmYBTZ7vsmxDkxH","",NA
"Drake","3TVXtAsR1Inumwj472S9r4","rap","21 Savage, BlocBoy JB, Brent Faiyaz, Central Cee, DaBaby, Dave, DJ Candlestick, Eminem, Future, Gucci Mane, Gunna, Jhené Aiko, Kanye West, Kendrick Lamar, Lil Baby, Lil Durk, Lil Yachty, Meek Mill, Metro Boomin, Michael Jackson, Migos, Offset, Playboi Carti, Quavo, The Weeknd, Travis Scott, Yeat, Young Stoner Life, Young Thug"
"Dream, Ivory","0qZyvjwZauLmrobrpJmvib","alt",NA
"Duster","5AyEXCtu3xnnsTGCo4RVZh","slowcore, shoegaze",NA
"Earl Sweatshirt","3A5tHz1SfngyOZM2gItYKu","hiphop","Frank Ocean, The Alchemist, Tyler, The Creator"
"Ecco2k","6hG0VsXXlD10l60TqiIHIX","hyperpop","Bladee, Nation, Thaiboy Digital, Yung Lean"
"Ed Sheeran","6eUKZXaKkcviH0Ku9w2n3V","soft pop","A Boogie Wit da Hoodie, Central Cee, D-Block Europe, Dave, Eminem, Joel Corry, Lil Baby, Meek Mill, Tiësto, Travis Scott, Young Thug"
"EDEN","1t20wYnTiAT0Bs7H1hv9Wt","alt",NA
"ElGrandeToto","4BFLElxtBEdsdwGA1kHTsx","moroccan rap, moroccan pop, arabic hip hop","CKay"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","vocal",NA
"Elliott Smith","2ApaG60P4r0yhBoDCGD8YG","indie",NA
"Eminem","7dGJo4pcD2V6oG8kP0tJRR","rap, hip hop","DJ Premier, Don Toliver, Drake, Ed Sheeran, Kanye West, Kendrick Lamar, Polo G"
"empire! empire! (i was a lonely estate)","3IaqcRr2teHDEqhRE5emu9","midwest emo, math rock, emo, screamo",NA
"Enigma","3DmG65yHQsMms7WAvrZOdt","new age, gregorian chant",NA
"Faramarz Aslani","1xA7r3Y1UGCp3rQMkgFXz4","",NA
"Felipe Da Don","4kZt5tLRG8CuE2xmhO9k2r","","Gunna, Lil Baby"
"FELIX!","1DN9Pgv4fiAaRSSgiisj5G","",NA
"Fleet Foxes","4EVpmkEwrLYEg6jIsiPMIb","indie folk, folk, indie",NA
"Fleetwood Mac","08GQAI4eElDnROBrJRGE0X","classic rock, yacht rock, soft rock",NA
"Flozigg","0pTI6gG0UHQjylvV6mPuHv","",NA
"Fog Lake","04GCjO1r1hPelibCUq9S8H","slowcore, lo-fi indie",NA
"Fontaines D.C.","3SXwqSqAoBz9WCI9PDQzY6","post-punk",NA
"Foxes In Fiction","3GSt4ZSP1wEtdbcTTbwjpW","dream pop, shoegaze",NA
"Frank Ocean","2h93pZq0e7k5yf4dywlkpM","alt","Earl Sweatshirt, Tyler, The Creator"
"Frank Sinatra","1Mxqyy3pSjf8kZZL4QVxS0","vocal",NA
"Franz Gordon","6c9mrV72IOeJ5imCUK281g","indie",NA
"Freddie Gibbs","0Y4inQK6OespitzD6ijMwb","jazz rap, alternative hip hop","Earl Sweatshirt, Gucci Mane, Masego, Moneybagg Yo, Offset, The Alchemist, Tory Lanez, Tyler, The Creator"
"Frédéric Chopin","7y97mc3bZRFXzT2szRM4L4","classical","Antoni Wit, Daniel Barenboim, David Fray, Idil Biret, Polish National Radio Symphony Orchestra"
"Fredo","3rbtPd0NcvhO2AzMfzx90z","grime, uk grime, uk drill, drill","Central Cee, Dave, Pop Smoke, Tory Lanez"
"Free Party","2A1dxDBORVkkbHJDVDOhed","",NA
"From Indian Lakes","3YvQkjWJ5ykJVUNP7YbTy9","",NA
"Fugazi","62sC6lUEWRjbFqXpMmOk4G","indie",NA
"Future","1RyvyyTE3xzB2ZywiAwp0i","rap","21 Savage, 42 Dugg, A$AP Rocky, DaBaby, Don Toliver, Drake, Gucci Mane, Gunna, Kanye West, Kendrick Lamar, Kodak Black, Lil Baby, Lil Durk, Lil Uzi Vert, Meek Mill, Metro Boomin, Migos, Offset, Playboi Carti, Quavo, Southside, The Weeknd, Tiësto, Travis Scott, Young Thug"
"Gabriel Fauré","2gClsBep1tt1rv1CN210SO","classical","Camille Saint-Saëns, Christine Croshaw, Daniel Barenboim"
"George Clanton","1G5v3lpMz7TeoW0yGpRQHr","vaporwave, chillwave",NA
"Georgian Folk","3D21btY4uY8j3LYwAR7zwz","",NA
"German Error Message","4Zjxd2hv7Hb8zJMIy8A1TM","slowcore, lo-fi indie, ambient folk",NA
"girl in red","3uwAm6vQy7kWPS2bciKWx9","vocal",NA
"Gorky's Zygotic Mynci","5ShFRZUGJZL1qMkIPtYV5M","pop",NA
"GRAZER","66npZ0iLHcWmV2DAC8oYRF","dream pop, shoegaze, lo-fi indie",NA
"Grizzly Bear","2Jv5eshHtLycR6R8KQCdc4","indie, baroque pop, indie rock",NA
"Gucci Mane","13y7CgLHjMVRMDqxdx0Xdo","southern hip hop, rap, trap","21 Savage, A Boogie Wit da Hoodie, A$AP Rocky, Big Scarr, DaBaby, Don Toliver, Drake, Future, Gunna, HoodRich Pablo Juan, Kanye West, Key Glock, Kodak Black, Lil Baby, Lil Durk, Lil Tjay, Lil Uzi Vert, Lil Yachty, Meek Mill, Migos, NAV, Offset, Pooh Shiesty, Quavo, Rich The Kid, The Weeknd, Travis Scott, Young Dolph, Young Nudy, Young Thug, Yung Lean"
"Gunna","2hlmm7s2ICUX0LVIhVFlZQ","melodic rap","21 Savage, DaBaby, Don Toliver, Drake, Felipe Da Don, Future, HoodRich Pablo Juan, Kodak Black, Lil Baby, Lil Durk, Lil Tecca, Lil Uzi Vert, Lil Yachty, Metro Boomin, Moneybagg Yo, NAV, Offset, Playboi Carti, Southside, Tm88, Tory Lanez, Travis Scott, Young Stoner Life, Young Thug"
"Have A Nice Life","0FRKTwQSToXpCxYMhyUzYY","shoegaze, slowcore",NA
"Her's","77mJc3M7ZT5oOVM7gNdXim","indie",NA
"Hibou","60S3PHPmmVaBxa0zrcAiHq","dream pop",NA
"HoodRich Pablo Juan","1ZLO8d7zll1WeQJUHaxQer","","BlocBoy JB, Gucci Mane, Gunna, Kap G, Key Glock, Lil Baby, Lil Uzi Vert, Lil Yachty, MadeinTYO, Migos, NAV, NLE Choppa, Offset, Playboi Carti, Quavo, Rich The Kid, Young Dolph, Young Thug"
"Hope Sandoval & The Warm Inventions","38u18VoGaIwVeSyVoA0eU5","slowcore, dream pop, art pop",NA
"Huncho Jack","6extd4B6hl8VTmnlhpl2bY","","Offset, Quavo, Travis Scott"
"Idil Biret","5SBOWUBQdfga0xprPVBxOr","classical","Antoni Wit, Camille Saint-Saëns, Frédéric Chopin, Gabriel Fauré, Johannes Brahms, Polish National Radio Symphony Orchestra"
"Indila","0FEJqmeLRzsXj8hgcZaAyB","french pop",NA
"Interpol","3WaJSfKnzc65VDgmj2zU8B","indie rock, post-punk",NA
"ISO Supremacy","6rUez8y21xlLrYKExcXB1X","dark r&b","A$AP Rocky, Brent Faiyaz, DJ Candlestick, FELIX!, Tommy Richman"
"Jaymay","42lt7Lr6m3qVIesp9pP4oH","indie",NA
"Jeff Buckley","3nnQpaTvKb5jCQabZefACI","",NA
"Jeremy Zucker","3gIRvgZssIb9aiirIg0nI3","indie",NA
"Jhené Aiko","5ZS223C6JyBfXasXxrRqOk","r&b","21 Savage, Childish Gambino, Future, Kendrick Lamar, Kurupt, Lil Durk, Pop Smoke"
"Joanne Robertson","4MdQ9btIlh6rzIMA19tu3L","","Dean Blunt"
"Joel Corry","6DgP9otnZw5z6daOntINxp","dance pop","Avicii, Calvin Harris, Ed Sheeran, Tiësto, Tory Lanez"
"Johannes Brahms","5wTAi7QkpP6kp8a54lmTOq","classical","Antoni Wit, Daniel Barenboim, Idil Biret, Polish National Radio Symphony Orchestra"
"Johnny Hodges","7lRFrrINQTY35g8hq0kXY5","jazz",NA
"Joji","3MZsBdqDrRTJihTHQrO6Dq","alt","Lil Yachty, Yves Tumor"
"jonatan leandoer96","5tPS5f7Gu3SaJQusdkehtE","rap",NA
"Julian Casablancas","1rAv1GhTQ2rmG94p9lU3rB","indie",NA
"Juliana Chahayed","2qvGuhgaubJ02pfiKcJAdR","edm",NA
"Kanye West","5K4W6rqBFWDnAN6FQUkS6x","rap","Bon Iver, DJ Premier, Drake, Eminem, Frank Ocean, Lil Baby, Lil Durk, Playboi Carti, Rich The Kid, The Weeknd, Travis Scott"
"Kap G","6JvU33PZ8MtZyeFTESr09O","","A Boogie Wit da Hoodie, Gunna, HoodRich Pablo Juan, Lil Baby, Lil Uzi Vert, Playboi Carti, Quavo, Young Thug"
"Karnivool","6rX8AFY10dsJkJsv23Z9Um","progressive metal, progressive rock, djent, alternative metal",NA
"Kasabian","11wRdbnoYqRddKBrpHt4Ue","britpop, indie, indie rock",NA
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","hip hop, west coast hip hop","Drake, Future, Jhené Aiko, Kodak Black, The Weeknd, Travis Scott"
"Key Glock","0RESbWvOMyua0yuyVrztJ5","","Paper Route EMPIRE, PaperRoute Woo, Rich The Kid, SNUPE BANDZ, Young Dolph"
"King Krule","4wyNyxs74Ux8UIDopNjIai","",NA
"King Von","6QtgPSJPSzcnn7dPZ4VINp","chicago drill, drill","21 Savage, 42 Dugg, A Boogie Wit da Hoodie, Lil Durk, Moneybagg Yo, NLE Choppa, Offset, Polo G, Tee Grizzley"
"Kings of Leon","2qk9voo8llSGYcZ6xrBzKx","",NA
"Kinrose","6SUbi1ZVEswHqRUWsxmq2m","",NA
"Kodak Black","46SHBwWsqBkxI7EeeBEQG7","","6ix9ine, A Boogie Wit da Hoodie, D-Block Europe, Don Toliver, Future, Gucci Mane, Gunna, Lil Durk, Lil Tecca, Lil Yachty, Moneybagg Yo, NLE Choppa, Offset, Pooh Shiesty, Tory Lanez, Travis Scott, Young Thug"
"Kurupt","6NyJIFHAePjHR1pFxwisqz","g-funk, west coast hip hop, gangster rap, old school hip hop","Kendrick Lamar, The Alchemist"
"La Capone","69HouC7BpXVxTAFwpckJHs","chicago drill, drill",NA
"Lady Radiator","5U2FH1VnxiZYbLcUVWGrov","post-hardcore",NA
"Le Tigre","2n6FviARgtjjimZXu18uRM","indie",NA
"Leo Kaliski","0Q17losYLQmvFMI0dxBqIz","indie",NA
